Pickup_Location,Bookings,Successful_Rides,Driver_Not_Found,Failed_Bookings,Completion_Rate,Driver_Not_Found_Rate,Failed_Rate
Banashankari,2201,1365,211,836,0.6201726487960019,0.09586551567469333,0.3798273512039982
Yeshwanthpur,2139,1353,204,786,0.6325385694249649,0.09537166900420757,0.36746143057503505
RT Nagar,2135,1321,201,814,0.6187353629976581,0.09414519906323185,0.3812646370023419
Indiranagar,2133,1335,194,798,0.6258790436005626,0.09095171120487576,0.37412095639943743
Sahakar Nagar,2126,1308,218,818,0.6152398871119473,0.10253998118532455,0.3847601128880527
Basavanagudi,2120,1322,212,798,0.6235849056603774,0.1,0.37641509433962267
Ramamurthy Nagar,2116,1338,176,778,0.6323251417769377,0.0831758034026465,0.3676748582230624
Vijayanagar,2113,1264,206,849,0.5982016090866067,0.09749171793658305,0.40179839091339326
Tumkur Road,2105,1269,196,836,0.6028503562945369,0.09311163895486936,0.3971496437054632
Cox Town,2100,1335,218,765,0.6357142857142857,0.10380952380952381,0.36428571428571427
Magadi Road,2099,1322,179,777,0.6298237255836112,0.08527870414483087,0.3701762744163888
BTM Layout,2091,1291,209,800,0.6174079387852702,0.09995217599234815,0.3825920612147298
Hennur,2090,1307,228,783,0.6253588516746411,0.10909090909090909,0.37464114832535883
Whitefield,2087,1292,170,795,0.6190704360325826,0.08145663632007666,0.38092956396741734
Mysore Road,2085,1313,220,772,0.629736211031175,0.10551558752997602,0.37026378896882495
Kengeri,2083,1257,217,826,0.6034565530484878,0.1041766682669227,0.3965434469515122
Nagarbhavi,2083,1301,215,782,0.6245799327892463,0.10321651464234277,0.3754200672107537
Langford Town,2079,1250,207,829,0.6012506012506013,0.09956709956709957,0.39874939874939874
Hosur Road,2074,1248,219,826,0.6017357762777242,0.1055930568948891,0.3982642237222758
Kammanahalli,2071,1280,215,791,0.6180589087397392,0.10381458232737807,0.38194109126026077
Sarjapur Road,2070,1273,200,797,0.614975845410628,0.0966183574879227,0.385024154589372
Peenya,2069,1268,220,801,0.6128564523924601,0.10633156114064765,0.3871435476075399
Majestic,2067,1287,214,780,0.6226415094339622,0.10353168843734882,0.37735849056603776
Koramangala,2062,1319,186,743,0.6396702230843841,0.09020368574199807,0.3603297769156159
KR Puram,2058,1274,196,784,0.6190476190476191,0.09523809523809523,0.38095238095238093
Malleshwaram,2058,1303,198,755,0.6331389698736638,0.09620991253644315,0.36686103012633625
Hebbal,2058,1288,211,770,0.6258503401360545,0.10252672497570457,0.3741496598639456
Frazer Town,2048,1277,201,771,0.62353515625,0.09814453125,0.37646484375
MG Road,2048,1299,194,749,0.63427734375,0.0947265625,0.36572265625
Bannerghatta Road,2046,1251,209,795,0.6114369501466276,0.10215053763440861,0.3885630498533724
Yelahanka,2044,1248,213,796,0.6105675146771037,0.10420743639921722,0.38943248532289626
Electronic City,2044,1290,197,754,0.6311154598825832,0.09637964774951076,0.36888454011741684
HSR Layout,2042,1276,212,766,0.6248775710088149,0.10381978452497552,0.3751224289911851
Richmond Town,2042,1275,194,767,0.6243878550440745,0.09500489715964741,0.37561214495592554
JP Nagar,2039,1247,197,792,0.6115743011280039,0.09661598822952427,0.3884256988719961
Ulsoor,2038,1290,189,748,0.6329735034347399,0.09273797841020609,0.36702649656526004
Rajarajeshwari Nagar,2037,1283,190,754,0.6298478154148257,0.09327442317133039,0.3701521845851743
Hulimavu,2030,1254,186,776,0.6177339901477833,0.0916256157635468,0.38226600985221676
Marathahalli,2027,1243,225,784,0.6132215096201282,0.1110014800197336,0.3867784903798717
Shivajinagar,2017,1250,186,767,0.6197322756569162,0.09221616261774913,0.3802677243430838
Varthur,2013,1270,192,743,0.6308991554893194,0.09538002980625931,0.3691008445106806
Shantinagar,2012,1259,190,753,0.6257455268389662,0.09443339960238568,0.3742544731610338
Bellandur,2008,1250,196,758,0.6225099601593626,0.09760956175298804,0.37749003984063745
Padmanabhanagar,2004,1223,201,781,0.6102794411177644,0.10029940119760479,0.3897205588822355
Kadugodi,2002,1254,212,748,0.6263736263736264,0.10589410589410589,0.37362637362637363
Devanahalli,1999,1225,203,774,0.6128064032016008,0.10155077538769385,0.3871935967983992
Chickpet,1994,1233,207,761,0.6183550651955868,0.10381143430290872,0.38164493480441325
Jayanagar,1985,1262,201,723,0.6357682619647356,0.10125944584382872,0.3642317380352645
Chamarajpet,1981,1212,193,769,0.6118122160524987,0.09742554265522463,0.38818778394750125
Rajajinagar,1952,1213,196,739,0.6214139344262295,0.10040983606557377,0.3785860655737705
