Booking_Hour,Bookings,Successful_Rides,Driver_Cancellations,Customer_Cancellations,Driver_Not_Found,Completion_Rate,Failed_Rate
0,4318,2726,757,401,434,0.6313107920333487,0.3686892079666513
1,4329,2697,762,428,442,0.623007623007623,0.376992376992377
2,4305,2658,782,420,445,0.6174216027874564,0.3825783972125436
3,4201,2668,737,407,389,0.6350868840752202,0.3649131159247798
4,4263,2651,800,430,382,0.6218625381186957,0.37813746188130426
5,4264,2710,752,419,383,0.6355534709193246,0.36444652908067543
6,4271,2655,747,452,417,0.6216342776867244,0.3783657223132756
7,4304,2628,777,467,432,0.6105947955390335,0.3894052044609665
8,4374,2681,812,436,445,0.6129401005944216,0.3870598994055784
9,4347,2680,766,432,469,0.6165171382562686,0.38348286174373136
10,4334,2616,847,451,420,0.6035994462390402,0.39640055376095984
11,4272,2716,754,420,382,0.6357677902621723,0.36423220973782766
12,4408,2699,803,455,451,0.6122958257713249,0.3877041742286751
13,4285,2680,765,431,409,0.6254375729288215,0.3745624270711785
14,4232,2666,741,442,383,0.6299621928166351,0.3700378071833649
15,4376,2758,751,455,412,0.6302559414990859,0.3697440585009141
16,4261,2629,766,446,420,0.6169913165923492,0.3830086834076508
17,4353,2691,751,489,422,0.6181943487250172,0.3818056512749828
18,4176,2580,735,444,417,0.617816091954023,0.382183908045977
19,4271,2646,760,404,461,0.6195270428471084,0.38047295715289164
20,4228,2587,775,441,425,0.6118732261116367,0.38812677388836325
21,4343,2679,779,462,423,0.6168547087266866,0.3831452912733134
22,4283,2609,775,462,437,0.6091524632267102,0.39084753677328976
23,4226,2657,740,405,424,0.6287269285376242,0.37127307146237576
